,0,1,2,3,granger_scores
4931,Nfya,Cdkn1b,Activation,15064717,82.05162
4933,Nfya,Ddit3,Unknown,20023394,-116.24648
4935,Nfya,Fxr2,Activation,16886907,-20.917156
5185,Nr4a1,Cdkn1b,Activation,12842839,-52.700478
5252,Nrf1,Fxr2,Activation,16886907,20.937887
5257,Nrf1,Prdx5,Activation,21051700,-39.06488
5262,Nrf1,Tomm34,Unknown,18364745,120.61025
5270,Nupr1,Cdkn1a,Activation,18690848,-84.14623
5271,Nupr1,Cdkn1a,Unknown,22858377,-84.14623
5375,Pax6,Itgb1,Unknown,10954416,80.063416
5813,Ptma,Cdkn1a,Unknown,16540664,94.03991
6413,Rfx5,Col1a2,Repression,16464847;23079621,24.08758
6414,Rfx5,Hdac2,Unknown,16464847,54.36756
6461,Rnf14,Ccnd1,Activation,17510080,34.238216
6613,Satb1,Mki67,Activation,22839214,-55.03158
6614,Satb1,Sparc,Activation,17343824,40.864655
6767,Smad4,Cdkn1a,Activation,10878024,74.32648
6770,Smad4,Dach1,Repression,14525983,32.980553
6776,Smad4,Jun,Unknown,10022869,-51.92339
6779,Smad4,Runx1t1,Activation,21540640,55.74564
6782,Smad4,Smad7,Unknown,10559222;10823886,97.239204
6785,Smad4,Ucp2,Unknown,21935467,44.667393
6787,Smad7,Cdk1,Repression,15023526,22.925938
6788,Smad7,Cdkn1a,Repression,15555279,63.709053
6822,Snai2,Cd44,Activation,20509143,-123.45381
6835,Snai2,Ube2d3,Repression,21044962,-74.182465
6890,Sox4,Ago1,Unknown,19147588,74.10168
7760,Srebf2,Hmgcr,Activation,17448444,17.43118
7761,Srebf2,Hmgcr,Unknown,19288057,17.43118
7762,Srebf2,Hnf4a,Repression,19179483,-37.842606
7763,Srebf2,Ldlr,Activation,16697011;17448444;21123766;22153697,58.391365
7765,Srebf2,Lrp1,Repression,16697011;20980003,-23.160734
7769,Srebf2,Pcsk9,Activation,17448444;17921436;21123766;22288532,27.745176
7773,Srebf2,Prss8,Unknown,16806080,69.66596
7815,Stat1,App,Unknown,9841227,92.741035
7817,Stat1,Ccl2,Unknown,12388243;17167270,156.82126
7818,Stat1,Ccl3,Activation,16628196,177.49055
7824,Stat1,Cdkn1a,Activation,10023678,-44.768093
7833,Stat1,Cxcl10,Repression,22022583,76.10136
7834,Stat1,Cxcl10,Unknown,19479051;23153456,76.10136
7844,Stat1,Gast,Activation,20568281,-46.24669
7845,Stat1,Gast,Unknown,20949125,-46.24669
7849,Stat1,Hsp90aa1,Repression,12940076,46.554417
7850,Stat1,Icam1,Activation,12651068;9888295;9990314,60.860268
7851,Stat1,Ifit3,Unknown,17050680,89.96586
7860,Stat1,Il1b,Activation,17386941,117.933105
7861,Stat1,Il1r1,Unknown,15972639,173.0513
7872,Stat1,Krt17,Activation,21796151,149.77776
7878,Stat1,Muc4,Activation,19757157;22537161,-54.285324
7887,Stat1,Pim1,Unknown,10068671,48.03252
7896,Stat1,S100a10,Activation,12645529,65.856445
7897,Stat1,Scarb1,Unknown,17998316,-79.358444
7900,Stat1,Stat2,Activation,16918696,144.6246
7901,Stat1,Stat3,Unknown,22693070,99.89407
7912,Stat2,Ccl2,Unknown,17167270,83.53093
7913,Stat2,Ifit3,Unknown,19351818;20403236,81.995415
7920,Stat2,Scarb1,Unknown,17998316,-83.44705
7922,Stat2,Stat1,Unknown,21498520,108.97975
7939,Stat3,Ccl2,Activation,24429361,237.62389
7940,Stat3,Ccnd1,Activation,16651438;19880237;19926637;21435102;22218594,51.828644
